type,step,key,value
metric,5,validation.tail.optimistic.hits_at_3,0.07223001402524544
metric,5,validation.both.optimistic.hits_at_3,0.04680925666199159
metric,5,validation.head.realistic.hits_at_3,0.021388499298737727
metric,5,validation.tail.realistic.hits_at_3,0.07223001402524544
metric,5,validation.both.realistic.hits_at_3,0.04680925666199159
metric,5,validation.head.pessimistic.hits_at_3,0.021388499298737727
metric,5,validation.tail.pessimistic.hits_at_3,0.07223001402524544
metric,5,validation.both.pessimistic.hits_at_3,0.04680925666199159
metric,5,validation.head.optimistic.hits_at_5,0.024894810659186535
metric,5,validation.tail.optimistic.hits_at_5,0.09046283309957924
metric,5,validation.both.optimistic.hits_at_5,0.05767882187938289
metric,5,validation.head.realistic.hits_at_5,0.024894810659186535
metric,5,validation.tail.realistic.hits_at_5,0.09046283309957924
metric,5,validation.both.realistic.hits_at_5,0.05767882187938289
metric,5,validation.head.pessimistic.hits_at_5,0.024894810659186535
metric,5,validation.tail.pessimistic.hits_at_5,0.09046283309957924
metric,5,validation.both.pessimistic.hits_at_5,0.05767882187938289
metric,5,validation.head.optimistic.hits_at_10,0.030504908835904627
metric,5,validation.tail.optimistic.hits_at_10,0.12201963534361851
metric,5,validation.both.optimistic.hits_at_10,0.07626227208976157
metric,5,validation.head.realistic.hits_at_10,0.030504908835904627
metric,5,validation.tail.realistic.hits_at_10,0.12201963534361851
metric,5,validation.both.realistic.hits_at_10,0.07626227208976157
metric,5,validation.head.pessimistic.hits_at_10,0.030504908835904627
metric,5,validation.tail.pessimistic.hits_at_10,0.12201963534361851
metric,5,validation.both.pessimistic.hits_at_10,0.07626227208976157
metric,5,validation.head.optimistic.z_hits_at_k,75.65309020291187
metric,5,validation.tail.optimistic.z_hits_at_k,306.398295166085
metric,5,validation.both.optimistic.z_hits_at_k,270.04915424265135
metric,5,validation.head.realistic.z_hits_at_k,75.65309020291187
metric,5,validation.tail.realistic.z_hits_at_k,306.398295166085
metric,5,validation.both.realistic.z_hits_at_k,270.04915424265135
metric,5,validation.head.pessimistic.z_hits_at_k,75.65309020291187
metric,5,validation.tail.pessimistic.z_hits_at_k,306.398295166085
metric,5,validation.both.pessimistic.z_hits_at_k,270.04915424265135
metric,5,validation.head.optimistic.adjusted_hits_at_k,0.03006813679120055
metric,5,validation.tail.optimistic.adjusted_hits_at_k,0.12162508001459901
metric,5,validation.both.optimistic.adjusted_hits_at_k,0.07584663414781141
metric,5,validation.head.realistic.adjusted_hits_at_k,0.03006813679120055
metric,5,validation.tail.realistic.adjusted_hits_at_k,0.12162508001459901
metric,5,validation.both.realistic.adjusted_hits_at_k,0.07584663414781141
metric,5,validation.head.pessimistic.adjusted_hits_at_k,0.03006813679120055
metric,5,validation.tail.pessimistic.adjusted_hits_at_k,0.12162508001459901
metric,5,validation.both.pessimistic.adjusted_hits_at_k,0.07584663414781141
metric,6,loss,0.42305495269471705
metric,7,loss,0.32426425190278274
metric,8,loss,0.25035648863741805
metric,9,loss,0.19115128730262457
metric,10,loss,0.15272462001725948
metric,10,validation.head.optimistic.adjusted_inverse_harmonic_mean_rank,0.036348308526205034
metric,10,validation.tail.optimistic.adjusted_inverse_harmonic_mean_rank,0.07372294875120096
metric,10,validation.both.optimistic.adjusted_inverse_harmonic_mean_rank,0.05503563870516173
metric,10,validation.head.realistic.adjusted_inverse_harmonic_mean_rank,0.03634831041230806
metric,10,validation.tail.realistic.adjusted_inverse_harmonic_mean_rank,0.07372294862065716
metric,10,validation.both.realistic.adjusted_inverse_harmonic_mean_rank,0.055035635855875925
metric,10,validation.head.pessimistic.adjusted_inverse_harmonic_mean_rank,0.036348308497870165
metric,10,validation.tail.pessimistic.adjusted_inverse_harmonic_mean_rank,0.07372294711216375
metric,10,validation.both.pessimistic.adjusted_inverse_harmonic_mean_rank,0.055035637871475265
metric,10,validation.head.optimistic.arithmetic_mean_rank,6952.8425666199155
metric,10,validation.tail.optimistic.arithmetic_mean_rank,3218.826437587658
metric,10,validation.both.optimistic.arithmetic_mean_rank,5085.834502103787
metric,10,validation.head.realistic.arithmetic_mean_rank,6952.84423828125
metric,10,validation.tail.realistic.arithmetic_mean_rank,3218.828125
metric,10,validation.both.realistic.arithmetic_mean_rank,5085.83642578125
metric,10,validation.head.pessimistic.arithmetic_mean_rank,6952.845722300141
metric,10,validation.tail.pessimistic.arithmetic_mean_rank,3218.829593267882
metric,10,validation.both.pessimistic.arithmetic_mean_rank,5085.837657784011
metric,10,validation.head.optimistic.variance,44439562.690151624
metric,10,validation.tail.optimistic.variance,26774436.39589292
metric,10,validation.both.optimistic.variance,39092718.65599053
metric,10,validation.head.realistic.variance,44439584.0
metric,10,validation.tail.realistic.variance,26774440.0
metric,10,validation.both.realistic.variance,39092728.0
metric,10,validation.head.pessimistic.variance,44439596.95305674
metric,10,validation.tail.pessimistic.variance,26774444.64978343
metric,10,validation.both.pessimistic.variance,39092739.91438835
metric,10,validation.head.optimistic.z_arithmetic_mean_rank,34.58279206438841
metric,10,validation.tail.optimistic.z_arithmetic_mean_rank,65.75482727075034
metric,10,validation.both.optimistic.z_arithmetic_mean_rank,70.9762314489493
metric,10,validation.head.realistic.z_arithmetic_mean_rank,34.5827781392144
metric,10,validation.tail.realistic.z_arithmetic_mean_rank,65.75481324860107
metric,10,validation.both.realistic.z_arithmetic_mean_rank,70.97620881452471
metric,10,validation.head.pessimistic.z_arithmetic_mean_rank,34.58276577712834
metric,10,validation.tail.pessimistic.z_arithmetic_mean_rank,65.75480104751014
metric,10,validation.both.pessimistic.z_arithmetic_mean_rank,70.97619431850127
metric,10,validation.head.optimistic.inverse_median_rank,0.00020723241114910373
metric,10,validation.tail.optimistic.inverse_median_rank,0.001890359168241966
metric,10,validation.both.optimistic.inverse_median_rank,0.0005102040816326531
metric,10,validation.head.realistic.inverse_median_rank,0.00020723241323139518
